member_guid,subscription_id,subscription_start_wk,geo,market_area,market_segment,purchase_source,promo_regular,cc_segment,subscription_offerings,subscription_type,entitlement_period,twp_flag,subscription_tenure,member_classification,category,product,visited_website,active_flag
9,1008,2018-09,EMEA,GER,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1061,RESUBSCRIBER - DORMANT,DESKTOP,OVERALL,1,1
9,1008,2018-09,EMEA,GER,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1061,RESUBSCRIBER - DORMANT,MOBILE,OVERALL,1,1
27,1026,2019-43,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,455,NEW - FIRST SUBSCRIPTION,MOBILE,OVERALL,1,1
27,1026,2019-43,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,455,NEW - FIRST SUBSCRIPTION,DESKTOP,XD,1,1
45,1045,2019-20,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,620,EXISTING - MIGRATE,DESKTOP,INDESIGN,1,1
45,1045,2019-20,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,620,EXISTING - MIGRATE,DESKTOP,PREMIERE RUSH,1,0
49,1049,2017-15,AMER,US,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1379,NEW - RETURN 2 YEARS,DESKTOP,OVERALL,1,1
49,1049,2017-15,AMER,US,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1379,NEW - RETURN 2 YEARS,DESKTOP,PHOTOSHOP,1,1
50,1050,2021-01,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,26,EXISTING - MIGRATE,DESKTOP,LIGHTROOM CLASSIC,1,1
50,1050,2021-01,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,26,EXISTING - MIGRATE,MOBILE,OVERALL,1,1
56,1056,2019-07,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Trial_Purchase,708,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
56,1056,2019-07,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Trial_Purchase,708,NEW - FIRST SUBSCRIPTION,MOBILE,PHOTOSHOP EXPRESS,1,1
62,1062,2019-09,EMEA,GER,COMMERCIAL,E-TAIL/RETAIL,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,698,NEW - FIRST SUBSCRIPTION,MOBILE,LIGHTROOM MOBILE,1,1
62,1062,2019-09,EMEA,GER,COMMERCIAL,E-TAIL/RETAIL,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,698,NEW - FIRST SUBSCRIPTION,MOBILE,PHOTOSHOP EXPRESS,1,0
100,1100,2020-30,AMER,CAN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,186,NEW - FIRST SUBSCRIPTION,DESKTOP,BRIDGE,1,0
100,1100,2020-30,AMER,CAN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,186,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
101,1101,2020-31,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,177,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
101,1101,2020-31,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,177,NEW - FIRST SUBSCRIPTION,DESKTOP,AUDITION,1,1
122,1122,2018-13,ASIA,ANZ,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1030,NEW - FIRST SUBSCRIPTION,DESKTOP,AFTER EFFECTS,1,1
122,1122,2018-13,ASIA,ANZ,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1030,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
137,1137,2018-43,EMEA,UK,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,825,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
137,1137,2018-43,EMEA,UK,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,825,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
153,1153,2016-08,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1800,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
153,1153,2016-08,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1800,EXISTING - ADDITIONAL,DESKTOP,INDESIGN,1,1
169,1170,2020-47,EMEA,SSAI,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,66,RESUBSCRIBER - RECENT,DESKTOP,PHOTOSHOP,1,1
169,1170,2020-47,EMEA,SSAI,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,66,RESUBSCRIBER - RECENT,DESKTOP,INDESIGN,1,1
170,1171,2017-51,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1130,EXISTING - ADDITIONAL,MOBILE,ADOBE FRESCO,1,1
170,1171,2017-51,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1130,EXISTING - ADDITIONAL,DESKTOP,ACROBAT,1,1
178,1179,2018-46,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,800,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
178,1179,2018-46,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,800,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,1
184,1185,2020-52,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,28,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
184,1185,2020-52,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,28,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
184,1185,2020-52,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,28,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
207,1208,2018-36,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,872,EXISTING - MIGRATE,DESKTOP,AFTER EFFECTS,1,1
207,1208,2018-36,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,872,EXISTING - MIGRATE,DESKTOP,PREMIERE PRO,1,1
255,1257,2020-38,EMEA,RCIS,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,127,EXISTING - MIGRATE,DESKTOP,LIGHTROOM CC,1,0
255,1257,2020-38,EMEA,RCIS,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,127,EXISTING - MIGRATE,DESKTOP,OVERALL,1,1
319,1321,2020-26,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,214,NEW - FIRST SUBSCRIPTION,DESKTOP,MEDIA ENCODER,1,0
319,1321,2020-26,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,214,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
371,1373,2020-50,EMEA,ITA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,45,NEW - FIRST SUBSCRIPTION,DESKTOP,AFTER EFFECTS,1,0
371,1373,2020-50,EMEA,ITA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,45,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,1
438,1441,2016-20,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1718,NEW - FIRST SUBSCRIPTION,DESKTOP,AUDITION,1,0
438,1441,2016-20,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1718,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,1
444,1447,2018-31,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,909,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
444,1447,2018-31,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,909,NEW - FIRST SUBSCRIPTION,MOBILE,OVERALL,1,1
549,1552,2017-37,EMEA,BEN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,116,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,0,0
549,1552,2017-37,EMEA,BEN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,116,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,0,1
826,1829,2017-03,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,352,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,0,1
826,1829,2017-03,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,352,NEW - FIRST SUBSCRIPTION,DESKTOP,BRIDGE,0,1
1,1000,2019-38,AMER,BRZ,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,494,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
2,1001,2018-06,JPN,JPN,EDUCATION,E-TAIL/RETAIL,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1078,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
3,1002,2019-51,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,402,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
4,1003,2020-14,EMEA,SSAI,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,296,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
5,1004,2021-01,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,23,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
